Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_005;100.0;Well tested;0.03200101852416992;5;3;3;66.67
program_006;0.0;Weakly tested;0.12952423095703125;9;12;0;15.38
program_007;100.0;Well tested;0.02628040313720703;10;1;1;66.67
program_014;0.0;Weakly tested;0.01000833511352539;7;0;0;50.0
program_020;88.88888888888889;Well tested;0.07379817962646484;10;9;8;50.0
program_023;88.23529411764706;Well tested;25.05634880065918;10;17;11;93.33
program_024;100.0;Well tested;0.030743122100830078;10;3;3;75.0
program_025;90.0;Well tested;0.12862920761108398;10;10;9;95.24
program_027;100.0;Well tested;0.025590181350708008;8;2;2;50.0
program_033;100.0;Well tested;0.05260825157165527;6;9;9;50.0
program_034;100.0;Well tested;0.042112112045288086;6;8;8;50.0
program_036;0.0;Weakly tested;0.01305389404296875;6;0;0;50.0
program_037;100.0;Well tested;0.01908111572265625;5;1;1;50.0
program_042;0.0;Weakly tested;0.014672040939331055;6;0;0;50.0
program_043;0.0;Weakly tested;0.014458179473876953;5;0;0;66.67
program_044;100.0;Well tested;0.035095930099487305;5;3;3;75.0
program_045;100.0;Well tested;0.04543161392211914;6;3;3;90.0
program_047;0.0;Weakly tested;0.011995553970336914;7;0;0;50.0
program_048;100.0;Well tested;0.051207780838012695;6;6;6;66.67
program_051;89.47368421052632;Well tested;0.32691407203674316;7;19;17;83.33
program_052;0.0;Weakly tested;0.015921592712402344;6;0;0;66.67
program_053;0.0;Weakly tested;0.009673833847045898;6;0;0;50.0
program_055;0.0;Weakly tested;0.02323150634765625;7;0;0;71.43
program_056;100.0;Well tested;0.03777313232421875;7;3;3;83.33
program_057;0.0;Weakly tested;0.016644001007080078;7;0;0;66.67
program_059;100.0;Well tested;0.025000810623168945;7;1;1;66.67
program_060;0.0;Weakly tested;0.01408076286315918;6;0;0;66.67
program_061;100.0;Well tested;0.03877115249633789;7;1;1;90.0
program_062;0.0;Weakly tested;0.01308298110961914;7;0;0;66.67
program_063;100.0;Well tested;0.03000164031982422;7;1;1;83.33
program_069;100.0;Well tested;1.508018970489502;10;13;13;87.5
program_072;100.0;Well tested;0.03454232215881348;9;1;1;71.43
program_074;0.0;Weakly tested;0.012166738510131836;10;0;0;66.67
program_075;50.0;Weakly tested;0.03032231330871582;10;2;1;66.67
program_077;83.33333333333334;Well tested;0.05894827842712402;8;6;5;66.67
program_078;100.0;Well tested;0.03260231018066406;10;3;3;75.0
program_079;100.0;Well tested;0.040305137634277344;10;6;6;66.67
program_080;100.0;Well tested;0.040435075759887695;10;3;3;88.89
program_082;100.0;Well tested;0.02086162567138672;10;2;2;66.67
program_083;100.0;Well tested;0.013862848281860352;8;1;1;75.0
program_084;100.0;Well tested;0.035533905029296875;10;1;1;87.5
program_087;100.0;Well tested;0.2697775363922119;14;5;5;75.0
program_092;100.0;Well tested;5.126960515975952;16;10;9;0.0
program_093;100.0;Well tested;0.03094649314880371;15;3;3;83.33
program_095;100.0;Well tested;0.029516220092773438;12;3;3;50.0
program_096;100.0;Well tested;0.07883334159851074;15;9;9;83.33
program_099;100.0;Well tested;5.106037378311157;18;4;3;83.33
