Program;Mutation Score;Classification;Test Time (s);Test Suite Size;Num Mutants;Assertion Count;Statement Coverage (%)
program_005;100.0;Well tested;0.030992746353149414;9;3;3;66.67
program_007;100.0;Well tested;0.024004697799682617;8;1;1;66.67
program_014;0.0;Weakly tested;0.00999903678894043;6;0;0;50.0
program_019;100.0;Well tested;0.10145306587219238;7;10;10;87.5
program_020;100.0;Well tested;0.07455062866210938;9;9;9;50.0
program_021;94.44444444444444;Well tested;5.186486482620239;8;18;16;93.75
program_023;88.23529411764706;Well tested;10.212881803512573;8;17;13;93.33
program_024;100.0;Well tested;0.029000043869018555;7;3;3;75.0
program_025;90.0;Well tested;0.12491726875305176;8;10;9;95.24
program_027;100.0;Well tested;0.0234987735748291;7;2;2;50.0
program_029;90.0;Well tested;0.054840087890625;6;10;9;50.0
program_030;100.0;Well tested;0.05749773979187012;7;14;14;50.0
program_033;100.0;Well tested;0.04498410224914551;7;9;9;50.0
program_034;100.0;Well tested;0.04044365882873535;8;8;8;50.0
program_036;0.0;Weakly tested;0.012990474700927734;15;0;0;50.0
program_037;100.0;Well tested;0.020534515380859375;9;1;1;50.0
program_051;89.47368421052632;Well tested;0.32854223251342773;13;19;17;83.33
program_053;0.0;Weakly tested;0.01564502716064453;7;0;0;50.0
program_057;0.0;Weakly tested;0.015555143356323242;8;0;0;66.67
program_059;100.0;Well tested;0.032506704330444336;7;1;1;66.67
program_060;0.0;Weakly tested;0.020540952682495117;7;0;0;66.67
program_069;100.0;Well tested;1.409151554107666;8;13;13;87.5
program_071;100.0;Well tested;0.10587882995605469;7;10;10;94.12
program_072;100.0;Well tested;0.019147634506225586;6;1;1;71.43
program_074;0.0;Weakly tested;0.006512165069580078;7;0;0;66.67
program_075;50.0;Weakly tested;0.02899003028869629;8;2;1;66.67
program_077;100.0;Well tested;0.048538923263549805;7;6;6;66.67
program_078;100.0;Well tested;0.028530359268188477;7;3;3;75.0
program_079;100.0;Well tested;0.03660106658935547;5;6;6;66.67
program_080;100.0;Well tested;0.03953266143798828;9;3;3;88.89
program_083;100.0;Well tested;0.03126215934753418;9;1;1;75.0
program_084;100.0;Well tested;0.04732680320739746;9;1;1;87.5
program_087;100.0;Well tested;0.2701890468597412;7;5;5;75.0
program_091;100.0;Well tested;0.06290388107299805;7;6;6;85.71
program_092;100.0;Well tested;5.109841585159302;8;10;9;87.5
program_093;100.0;Well tested;0.036772727966308594;11;3;3;83.33
program_095;100.0;Well tested;0.031147003173828125;6;3;3;50.0
program_096;100.0;Well tested;0.0679175853729248;10;9;9;83.33
program_097;66.66666666666666;Weakly tested;0.04813265800476074;13;3;2;85.71
program_099;100.0;Well tested;5.077856063842773;6;4;3;83.33
